category,release_month,count
long sleeve,2016-12,18
short sleeves,2016-12,9
solid colours,2016-12,8
culottes,2016-12,7
sleeveless,2016-12,6
short coat,2016-12,4
doll dress,2016-12,3
long dress,2016-12,3
medium coat,2016-12,3
long cardigan,2016-12,2
miniskirt,2016-12,2
short cardigan,2016-12,2
trapeze dress,2016-12,2
printed,2016-12,1
sheath dress,2016-12,1
long sleeve,2017-01,33
culottes,2017-01,29
solid colours,2017-01,26
sleeveless,2017-01,13
printed,2017-01,9
trapeze dress,2017-01,8
short coat,2017-01,7
sheath dress,2017-01,6
patterned,2017-01,4
short sleeves,2017-01,4
tracksuit,2017-01,3
doll dress,2017-01,2
drop sleeve,2017-01,1
long coat,2017-01,1
miniskirt,2017-01,1
short cardigan,2017-01,1
shorts,2017-01,1
long sleeve,2017-02,44
culottes,2017-02,33
short coat,2017-02,21
solid colours,2017-02,15
sleeveless,2017-02,10
sheath dress,2017-02,9
doll dress,2017-02,8
patterned,2017-02,7
short sleeves,2017-02,7
long coat,2017-02,2
medium coat,2017-02,2
kimono dress,2017-02,1
long cardigan,2017-02,1
long dress,2017-02,1
miniskirt,2017-02,1
tracksuit,2017-02,1
culottes,2017-03,42
long sleeve,2017-03,40
solid colours,2017-03,23
sleeveless,2017-03,22
short sleeves,2017-03,18
printed,2017-03,13
trapeze dress,2017-03,9
patterned,2017-03,8
doll dress,2017-03,6
kimono dress,2017-03,4
long coat,2017-03,4
medium coat,2017-03,4
sheath dress,2017-03,4
drop sleeve,2017-03,3
miniskirt,2017-03,3
shirt dress,2017-03,3
short coat,2017-03,3
long dress,2017-03,2
maxi,2017-03,2
medium cardigan,2017-03,2
tracksuit,2017-03,2
long cardigan,2017-03,1
solid colours,2017-04,30
long sleeve,2017-04,25
culottes,2017-04,24
sleeveless,2017-04,20
short sleeves,2017-04,17
printed,2017-04,14
drop sleeve,2017-04,8
kimono dress,2017-04,8
patterned,2017-04,7
sheath dress,2017-04,6
doll dress,2017-04,5
long dress,2017-04,4
shirt dress,2017-04,4
short coat,2017-04,3
shorts,2017-04,3
medium cardigan,2017-04,1
miniskirt,2017-04,1
tracksuit,2017-04,1
patterned,2017-05,24
sleeveless,2017-05,23
culottes,2017-05,20
solid colours,2017-05,19
long dress,2017-05,13
long sleeve,2017-05,12
short sleeves,2017-05,12
drop sleeve,2017-05,10
shorts,2017-05,10
tracksuit,2017-05,6
capris,2017-05,5
sheath dress,2017-05,4
short coat,2017-05,3
trapeze dress,2017-05,3
maxi,2017-05,2
shirt dress,2017-05,2
doll dress,2017-05,1
kimono dress,2017-05,1
medium cardigan,2017-05,1
printed,2017-05,1
sleeveless,2017-06,17
culottes,2017-06,13
long dress,2017-06,9
patterned,2017-06,5
solid colours,2017-06,5
tracksuit,2017-06,4
kimono dress,2017-06,3
printed,2017-06,3
long sleeve,2017-06,2
short sleeves,2017-06,2
trapeze dress,2017-06,2
sheath dress,2017-06,1
culottes,2017-07,31
long sleeve,2017-07,27
sleeveless,2017-07,19
printed,2017-07,14
solid colours,2017-07,14
long dress,2017-07,8
patterned,2017-07,7
drop sleeve,2017-07,5
doll dress,2017-07,4
short sleeves,2017-07,3
trapeze dress,2017-07,2
maxi,2017-07,1
sheath dress,2017-07,1
tracksuit,2017-07,1
long sleeve,2017-08,28
culottes,2017-08,26
solid colours,2017-08,20
sleeveless,2017-08,14
doll dress,2017-08,8
printed,2017-08,7
trapeze dress,2017-08,7
patterned,2017-08,4
shirt dress,2017-08,4
drop sleeve,2017-08,3
kimono dress,2017-08,2
short sleeves,2017-08,2
long coat,2017-08,1
long dress,2017-08,1
medium cardigan,2017-08,1
miniskirt,2017-08,1
tracksuit,2017-08,1
long sleeve,2017-09,92
culottes,2017-09,34
sleeveless,2017-09,23
short coat,2017-09,15
doll dress,2017-09,11
long coat,2017-09,10
drop sleeve,2017-09,7
solid colours,2017-09,6
trapeze dress,2017-09,5
medium cardigan,2017-09,4
medium coat,2017-09,3
maxi,2017-09,2
printed,2017-09,2
shirt dress,2017-09,2
short cardigan,2017-09,2
short sleeves,2017-09,2
gitana skirt,2017-09,1
kimono dress,2017-09,1
long dress,2017-09,1
miniskirt,2017-09,1
tracksuit,2017-09,1
long sleeve,2017-10,38
culottes,2017-10,22
long coat,2017-10,15
solid colours,2017-10,9
short sleeves,2017-10,8
short coat,2017-10,7
medium cardigan,2017-10,6
sleeveless,2017-10,6
doll dress,2017-10,5
patterned,2017-10,5
trapeze dress,2017-10,5
drop sleeve,2017-10,4
sheath dress,2017-10,4
kimono dress,2017-10,3
medium coat,2017-10,3
miniskirt,2017-10,2
shirt dress,2017-10,2
short cardigan,2017-10,2
long cardigan,2017-10,1
maxi,2017-10,1
long sleeve,2017-11,58
long coat,2017-11,15
culottes,2017-11,12
kimono dress,2017-11,11
sleeveless,2017-11,11
doll dress,2017-11,7
solid colours,2017-11,6
medium cardigan,2017-11,4
long duster,2017-11,3
short sleeves,2017-11,3
trapeze dress,2017-11,3
long dress,2017-11,2
sheath dress,2017-11,2
maxi,2017-11,1
medium coat,2017-11,1
miniskirt,2017-11,1
patterned,2017-11,1
shirt dress,2017-11,1
short cardigan,2017-11,1
short coat,2017-11,1
long sleeve,2017-12,22
culottes,2017-12,17
solid colours,2017-12,14
short coat,2017-12,11
long coat,2017-12,9
doll dress,2017-12,6
drop sleeve,2017-12,6
short cardigan,2017-12,6
sleeveless,2017-12,6
printed,2017-12,5
kimono dress,2017-12,4
patterned,2017-12,4
trapeze dress,2017-12,4
medium cardigan,2017-12,3
short sleeves,2017-12,3
maxi,2017-12,2
medium coat,2017-12,2
sheath dress,2017-12,2
long dress,2017-12,1
miniskirt,2017-12,1
long sleeve,2018-01,20
culottes,2018-01,16
short coat,2018-01,10
solid colours,2018-01,9
patterned,2018-01,6
doll dress,2018-01,5
printed,2018-01,4
short sleeves,2018-01,4
sleeveless,2018-01,3
kimono dress,2018-01,2
trapeze dress,2018-01,2
long dress,2018-01,1
shirt dress,2018-01,1
culottes,2018-02,28
solid colours,2018-02,21
long sleeve,2018-02,19
doll dress,2018-02,15
short coat,2018-02,12
sleeveless,2018-02,11
printed,2018-02,8
drop sleeve,2018-02,4
kimono dress,2018-02,4
patterned,2018-02,4
medium coat,2018-02,2
short sleeves,2018-02,2
long dress,2018-02,1
maxi,2018-02,1
shirt dress,2018-02,1
trapeze dress,2018-02,1
culottes,2018-03,30
long sleeve,2018-03,28
solid colours,2018-03,21
sleeveless,2018-03,19
doll dress,2018-03,13
patterned,2018-03,9
trapeze dress,2018-03,9
kimono dress,2018-03,7
short sleeves,2018-03,6
drop sleeve,2018-03,5
medium coat,2018-03,4
tracksuit,2018-03,3
long coat,2018-03,2
miniskirt,2018-03,2
shirt dress,2018-03,2
long dress,2018-03,1
maxi,2018-03,1
medium cardigan,2018-03,1
sheath dress,2018-03,1
short coat,2018-03,1
culottes,2018-04,30
solid colours,2018-04,19
short sleeves,2018-04,18
sleeveless,2018-04,17
doll dress,2018-04,16
patterned,2018-04,14
kimono dress,2018-04,9
long dress,2018-04,9
long sleeve,2018-04,9
capris,2018-04,6
drop sleeve,2018-04,6
maxi,2018-04,2
miniskirt,2018-04,2
trapeze dress,2018-04,2
gitana skirt,2018-04,1
sheath dress,2018-04,1
shirt dress,2018-04,1
shorts,2018-04,1
tracksuit,2018-04,1
sleeveless,2018-05,30
culottes,2018-05,21
short sleeves,2018-05,18
long dress,2018-05,14
long sleeve,2018-05,13
tracksuit,2018-05,9
shorts,2018-05,8
solid colours,2018-05,8
doll dress,2018-05,7
drop sleeve,2018-05,4
gitana skirt,2018-05,4
kimono dress,2018-05,3
maxi,2018-05,3
capris,2018-05,2
medium cardigan,2018-05,2
patterned,2018-05,2
shirt dress,2018-05,2
culottes,2018-06,34
sleeveless,2018-06,19
solid colours,2018-06,17
short sleeves,2018-06,16
long dress,2018-06,13
patterned,2018-06,12
long sleeve,2018-06,8
printed,2018-06,4
doll dress,2018-06,3
tracksuit,2018-06,3
gitana skirt,2018-06,2
kimono dress,2018-06,2
drop sleeve,2018-06,1
maxi,2018-06,1
sheath dress,2018-06,1
shorts,2018-06,1
culottes,2018-07,19
solid colours,2018-07,16
long sleeve,2018-07,13
sleeveless,2018-07,12
long dress,2018-07,8
short sleeves,2018-07,8
doll dress,2018-07,6
patterned,2018-07,5
tracksuit,2018-07,5
kimono dress,2018-07,4
gitana skirt,2018-07,2
trapeze dress,2018-07,2
maxi,2018-07,1
sheath dress,2018-07,1
culottes,2018-08,36
long sleeve,2018-08,35
solid colours,2018-08,15
short sleeves,2018-08,14
doll dress,2018-08,13
patterned,2018-08,11
long dress,2018-08,9
sleeveless,2018-08,7
drop sleeve,2018-08,6
trapeze dress,2018-08,4
kimono dress,2018-08,3
long coat,2018-08,3
medium coat,2018-08,2
sheath dress,2018-08,2
miniskirt,2018-08,1
short cardigan,2018-08,1
tracksuit,2018-08,1
long sleeve,2018-09,50
culottes,2018-09,36
solid colours,2018-09,22
sleeveless,2018-09,12
doll dress,2018-09,11
medium coat,2018-09,10
short sleeves,2018-09,10
sheath dress,2018-09,9
drop sleeve,2018-09,6
long dress,2018-09,6
medium cardigan,2018-09,6
tracksuit,2018-09,4
long coat,2018-09,3
patterned,2018-09,3
short cardigan,2018-09,3
trapeze dress,2018-09,3
kimono dress,2018-09,2
miniskirt,2018-09,2
gitana skirt,2018-09,1
long cardigan,2018-09,1
shirt dress,2018-09,1
short coat,2018-09,1
long sleeve,2018-10,65
culottes,2018-10,21
long coat,2018-10,13
doll dress,2018-10,12
kimono dress,2018-10,12
medium coat,2018-10,8
sleeveless,2018-10,7
long duster,2018-10,6
medium cardigan,2018-10,6
trapeze dress,2018-10,6
short sleeves,2018-10,5
drop sleeve,2018-10,4
long dress,2018-10,3
miniskirt,2018-10,3
sheath dress,2018-10,3
short coat,2018-10,3
gitana skirt,2018-10,2
patterned,2018-10,2
short cardigan,2018-10,2
maxi,2018-10,1
solid colours,2018-10,1
long sleeve,2018-11,46
culottes,2018-11,20
kimono dress,2018-11,13
long coat,2018-11,12
solid colours,2018-11,10
short cardigan,2018-11,8
sleeveless,2018-11,8
medium coat,2018-11,7
doll dress,2018-11,6
trapeze dress,2018-11,5
patterned,2018-11,3
sheath dress,2018-11,3
short coat,2018-11,3
drop sleeve,2018-11,2
gitana skirt,2018-11,2
long dress,2018-11,2
medium cardigan,2018-11,2
miniskirt,2018-11,2
short sleeves,2018-11,2
maxi,2018-11,1
tracksuit,2018-11,1
long sleeve,2018-12,35
culottes,2018-12,18
kimono dress,2018-12,16
solid colours,2018-12,7
patterned,2018-12,6
short sleeves,2018-12,6
doll dress,2018-12,5
long dress,2018-12,5
long coat,2018-12,2
medium coat,2018-12,2
sheath dress,2018-12,2
short cardigan,2018-12,2
trapeze dress,2018-12,2
gitana skirt,2018-12,1
maxi,2018-12,1
medium cardigan,2018-12,1
miniskirt,2018-12,1
short coat,2018-12,1
sleeveless,2018-12,1
long sleeve,2019-01,45
culottes,2019-01,34
solid colours,2019-01,12
trapeze dress,2019-01,11
doll dress,2019-01,7
kimono dress,2019-01,7
sleeveless,2019-01,7
maxi,2019-01,5
patterned,2019-01,5
drop sleeve,2019-01,3
medium coat,2019-01,3
long dress,2019-01,2
medium cardigan,2019-01,2
short coat,2019-01,2
short sleeves,2019-01,2
long cardigan,2019-01,1
sheath dress,2019-01,1
shirt dress,2019-01,1
long sleeve,2019-02,46
culottes,2019-02,30
solid colours,2019-02,16
doll dress,2019-02,14
printed,2019-02,8
short sleeves,2019-02,7
drop sleeve,2019-02,6
patterned,2019-02,6
sleeveless,2019-02,6
trapeze dress,2019-02,4
long coat,2019-02,3
long dress,2019-02,2
tracksuit,2019-02,2
gitana skirt,2019-02,1
medium coat,2019-02,1
miniskirt,2019-02,1
sheath dress,2019-02,1
long sleeve,2019-03,40
culottes,2019-03,30
sleeveless,2019-03,17
solid colours,2019-03,16
doll dress,2019-03,13
short sleeves,2019-03,13
long dress,2019-03,8
printed,2019-03,7
drop sleeve,2019-03,6
trapeze dress,2019-03,5
kimono dress,2019-03,3
long coat,2019-03,3
sheath dress,2019-03,3
gitana skirt,2019-03,1
miniskirt,2019-03,1
shorts,2019-03,1
tracksuit,2019-03,1
culottes,2019-04,17
short sleeves,2019-04,16
solid colours,2019-04,13
doll dress,2019-04,6
sleeveless,2019-04,6
printed,2019-04,5
kimono dress,2019-04,4
patterned,2019-04,4
sheath dress,2019-04,4
long sleeve,2019-04,3
drop sleeve,2019-04,2
long dress,2019-04,1
tracksuit,2019-04,1
trapeze dress,2019-04,1
patterned,2019-05,4
sleeveless,2019-05,3
culottes,2019-05,2
kimono dress,2019-05,2
solid colours,2019-05,1
culottes,2019-06,26
sleeveless,2019-06,20
long dress,2019-06,16
short sleeves,2019-06,15
solid colours,2019-06,10
doll dress,2019-06,7
printed,2019-06,7
patterned,2019-06,6
tracksuit,2019-06,6
shorts,2019-06,5
long sleeve,2019-06,4
gitana skirt,2019-06,3
medium cardigan,2019-06,1
sheath dress,2019-06,1
trapeze dress,2019-06,1
culottes,2019-07,21
long sleeve,2019-07,16
doll dress,2019-07,15
printed,2019-07,14
sleeveless,2019-07,14
long dress,2019-07,8
patterned,2019-07,6
short sleeves,2019-07,6
drop sleeve,2019-07,5
solid colours,2019-07,5
miniskirt,2019-07,3
shirt dress,2019-07,2
gitana skirt,2019-07,1
kimono dress,2019-07,1
medium cardigan,2019-07,1
short coat,2019-07,1
tracksuit,2019-07,1
long sleeve,2019-08,35
culottes,2019-08,34
doll dress,2019-08,20
short sleeves,2019-08,14
sleeveless,2019-08,14
drop sleeve,2019-08,10
patterned,2019-08,10
printed,2019-08,9
solid colours,2019-08,9
long dress,2019-08,5
sheath dress,2019-08,3
trapeze dress,2019-08,3
short coat,2019-08,2
gitana skirt,2019-08,1
medium cardigan,2019-08,1
miniskirt,2019-08,1
tracksuit,2019-08,1
long sleeve,2019-09,85
culottes,2019-09,33
doll dress,2019-09,15
sleeveless,2019-09,13
kimono dress,2019-09,10
short sleeves,2019-09,8
medium coat,2019-09,7
trapeze dress,2019-09,7
long coat,2019-09,5
drop sleeve,2019-09,4
sheath dress,2019-09,4
short cardigan,2019-09,4
medium cardigan,2019-09,3
long dress,2019-09,2
miniskirt,2019-09,2
short coat,2019-09,2
solid colours,2019-09,2
gitana skirt,2019-09,1
long cardigan,2019-09,1
shirt dress,2019-09,1
long sleeve,2019-10,55
culottes,2019-10,30
medium coat,2019-10,14
doll dress,2019-10,13
solid colours,2019-10,13
long coat,2019-10,12
short sleeves,2019-10,9
kimono dress,2019-10,8
long cardigan,2019-10,8
trapeze dress,2019-10,8
long duster,2019-10,6
sheath dress,2019-10,4
sleeveless,2019-10,3
long dress,2019-10,2
medium cardigan,2019-10,2
miniskirt,2019-10,2
printed,2019-10,2
short cardigan,2019-10,2
drop sleeve,2019-10,1
gitana skirt,2019-10,1
